"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"GPC4",0,0,1,1,0,0,0,0,3.81743417861803,0.766634500543423,1,0,0,0,0,0,0,0,0
"GPC5",0,0,1,1,0,0,0,0,-5.84658487589178,0.103132082326219,0.0579613970726551,0.217528315911799,0.18137138144589,0.036156934465909,0,0,1,1,0
"GPC5-AS1",0,0,1,1,0,0,0,0,0,1,0.0119329947840601,0.600053359428697,0.724633341342401,-0.124579981913704,0,0,0,0,0
"GPC6",0,0,1,1,0,0,0,0,-5.75611533588564,0.355302220901201,0.340060720659589,0.363414128982174,0.350532565185372,0.0128815637968017,0,0,1,1,0
"GPC6-AS1",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
"GPCPD1",0,0,1,1,0,0,0,0,-4.24826991183595,0.954300312906372,0.622844187841688,0.365901513637683,0.36255566974348,0.00334584389420206,1,0,31,32,1
"GPD1",0,0,1,1,0,0,0,0,-1.22691774631017,0.705943666658703,0.317727079428046,0.757944198041186,0.732288046698843,0.0256561513423436,1,0,2,3,1
"GPD1L",0,0,1,1,0,0,0,0,-5.28398711599678,0.330389040931394,0.0151575234273973,0.335799357431924,0.297004526236308,0.0387948311956166,0,0,0,0,0
"GPD2",0,0,1,1,0,0,0,0,-7.00629240509736,0.387080545832594,0.0201324810660064,0.435617800383078,0.346524514991624,0.0890932853914545,4,1,31,36,5
"GPER",0,0,1,1,0,0,0,0,3.40350266136849,0.102576528622647,1,0,0,0,0,0,0,0,0
"GPER1",0,0,1,1,0,0,0,0,0,1,0.117524276407049,0.802740733836162,0.781897888554074,0.0208428452820879,0,0,0,0,0
"GPHA2",0,0,1,1,0,0,0,0,-1.99687864711477,0.384145066401802,0.673851091952042,0.807337649005199,0.813897123525243,-0.00655947452004424,0,0,2,2,0
"GPHB5",0,0,1,1,0,0,0,0,0,0.810159285596946,1,0,0,0,0,0,0,0,0
"GPHN",0,0,1,1,0,0,0,0,-4.97768748107874,0.84752648563971,0.187379343893092,0.311521259831221,0.29842819047577,0.0130930693554512,0,1,18,19,1
"GPI",0,0,1,1,0,0,0,0,-9.85772511929957,0.2132637438242,0.137718738802054,0.265580690224424,0.252312209348119,0.0132684808763048,1,0,1,2,1
